pID,condition,question,answer,reason
56,smallmultiples_shadowmarks_overlays,preference,Overlays,I preferred it because I can see who is releasing at the same time or not.
57,overlays_smallmultiples_shadowmarks,speed,Overlays,i was able to match of the replace points easier
57,overlays_smallmultiples_shadowmarks,accuracy,Overlays,it was just easier to me see see when the ball came out of hand to compare
57,overlays_smallmultiples_shadowmarks,preference,Overlays,it was the only one that i ever got 2 right on first try
58,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,It was easier to see exactly where I should be looking based on the marker. 
58,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,It was easier to see exactly where I should be looking based on the marker. 
58,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,It was the least frustrating and most straightforward. 
64,shadowmarks_overlays_smallmultiples,speed,Overlays,can compare them easier 
64,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,gives a better reference 
64,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,gives a better experience 
73,shadowmarks_overlays_smallmultiples,speed,Shadow Marks,It was easy to see where the reference ball was.
73,shadowmarks_overlays_smallmultiples,accuracy,Overlays,It was easy to use and see.
73,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,It was the simplest and accurate for me.
74,smallmultiples_overlays_shadowmarks,speed,Overlays,The Overlays allowed me to see how the movements of both pitchers synced to find the release point.
74,smallmultiples_overlays_shadowmarks,accuracy,Overlays,I was able to compare the release of the ball for each player simultaneously.
74,smallmultiples_overlays_shadowmarks,preference,Overlays,The Overlay technique was the easiest technique to use and to compare most accurately.
81,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,It was quite easy to locate using the shadow mark than the overlay as the overlay looked very blurry 
81,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,It was easy to locate the close ball using the shadow mark as pointed out quickly the distance between them
81,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,"Simple, easy and not stressful"
82,overlays_shadowmarks_smallmultiples,speed,Shadow Marks,It was easy to see exactly where the release was on each frame. 
82,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,It marked it right on. 
82,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,It was the best by far 
83,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,It made the most sense and least confusion so could move quickly
83,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,it was easy to compare the ball to the mark with no visual distortion
83,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,it was the easiest made the most sense and just worked best
84,overlays_smallmultiples_shadowmarks,speed,Overlays,You were able to compare the different pitchers by superimposing the videos all at the same time and select or deselect them.
84,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,You could compare the other videos while seeing where you placed the shadow mark on the original video. Small Multiples was more difficult to assess.
84,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,You were able to be more precise in comparing the videos without having to pick and choose which overlays to look at.
