pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
8,1,1,smallMultiples,0,1,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-7;,sunflower0-9;,0.017600000000000005,-1,13778,80004,0,1,1,false
8,1,1,smallMultiples,0,2,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,13778,87841,0,1,1,false
8,1,1,smallMultiples,0,3,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-9;,sunflower0-9;,0,-1,13778,155130,1,0,0,false
8,1,1,smallMultiples,1,1,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower4-144;,sunflower6-216;,0.0030000000000000027,-1,13502,45912,0,1,1,false
8,1,1,smallMultiples,1,2,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower6-0;,sunflower6-216;,0.004200000000000037,-1,13502,112278,0,1,1,false
8,1,1,smallMultiples,1,3,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower4-216;,sunflower6-216;,0.0021999999999999797,-1,13502,134195,0,1,1,false
8,1,1,smallMultiples,1,4,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower8-0;,sunflower6-216;,0.009700000000000042,-1,13502,139929,0,1,1,false
8,1,1,smallMultiples,1,5,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower4-0;,sunflower6-216;,0.006500000000000006,-1,13502,154471,0,1,1,false
8,1,1,smallMultiples,1,6,lemnatec,sunflower,sunflower8-0;sunflower4-144;sunflower4-216;sunflower9-144;sunflower6-216;sunflower7-144;sunflower4-0;sunflower6-0;sunflower8-144;,sunflower6-216;,sunflower6-216;,0,-1,13502,196790,1,0,0,false
8,1,1,smallMultiples,2,1,lemnatec,sunflower,sunflower3-216;sunflower19-144;sunflower20-0;sunflower19-0;sunflower16-0;sunflower3-0;sunflower20-216;sunflower19-216;sunflower16-216;,sunflower16-216;,sunflower20-216;,0.0006999999999999784,-1,12633,26581,0,1,1,false
8,1,1,smallMultiples,2,2,lemnatec,sunflower,sunflower3-216;sunflower19-144;sunflower20-0;sunflower19-0;sunflower16-0;sunflower3-0;sunflower20-216;sunflower19-216;sunflower16-216;,sunflower20-0;,sunflower20-216;,0.019699999999999995,-1,12633,48051,0,1,1,false
8,1,1,smallMultiples,2,3,lemnatec,sunflower,sunflower3-216;sunflower19-144;sunflower20-0;sunflower19-0;sunflower16-0;sunflower3-0;sunflower20-216;sunflower19-216;sunflower16-216;,sunflower20-216;,sunflower20-216;,0,-1,12633,53881,1,0,0,false
3,2,1,shadowMarkers,0,1,lemnatec,sunflower,sunflower0-6;sunflower0-9;sunflower0-3;sunflower0-2;sunflower0-4;sunflower0-1;sunflower0-7;sunflower0-8;sunflower0-5;,sunflower0-9;,sunflower0-9;,0,-1,14279,12570,1,0,0,false
3,2,1,shadowMarkers,1,1,lemnatec,sunflower,sunflower9-0;sunflower4-0;sunflower8-144;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-216;sunflower5-0;sunflower6-0;,sunflower6-216;,sunflower6-216;,0,-1,13646,8302,1,0,0,false
3,2,1,shadowMarkers,2,1,lemnatec,sunflower,sunflower3-144;sunflower3-216;sunflower19-216;sunflower19-144;sunflower19-0;sunflower16-144;sunflower16-0;sunflower20-216;sunflower3-0;,sunflower3-216;,sunflower20-216;,0.01739999999999997,-1,13377,9125,0,1,1,false
3,2,1,shadowMarkers,2,2,lemnatec,sunflower,sunflower3-144;sunflower3-216;sunflower19-216;sunflower19-144;sunflower19-0;sunflower16-144;sunflower16-0;sunflower20-216;sunflower3-0;,sunflower3-0;,sunflower20-216;,0.019699999999999995,-1,13377,16324,0,1,1,false
3,2,1,shadowMarkers,2,3,lemnatec,sunflower,sunflower3-144;sunflower3-216;sunflower19-216;sunflower19-144;sunflower19-0;sunflower16-144;sunflower16-0;sunflower20-216;sunflower3-0;,sunflower19-0;,sunflower20-216;,0.03999999999999998,-1,13377,18915,0,1,1,false
3,2,1,shadowMarkers,2,4,lemnatec,sunflower,sunflower3-144;sunflower3-216;sunflower19-216;sunflower19-144;sunflower19-0;sunflower16-144;sunflower16-0;sunflower20-216;sunflower3-0;,sunflower16-0;,sunflower20-216;,0.020299999999999985,-1,13377,21587,0,1,1,false
3,2,1,shadowMarkers,2,5,lemnatec,sunflower,sunflower3-144;sunflower3-216;sunflower19-216;sunflower19-144;sunflower19-0;sunflower16-144;sunflower16-0;sunflower20-216;sunflower3-0;,sunflower20-216;,sunflower20-216;,0,-1,13377,24506,1,0,0,false
5,4,1,overlays,0,1,lemnatec,sunflower,sunflower0-1;sunflower0-2;sunflower0-9;sunflower0-6;sunflower0-7;sunflower0-8;sunflower0-4;sunflower0-5;sunflower0-3;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,18406,105394,0,1,1,false
5,4,1,overlays,0,2,lemnatec,sunflower,sunflower0-1;sunflower0-2;sunflower0-9;sunflower0-6;sunflower0-7;sunflower0-8;sunflower0-4;sunflower0-5;sunflower0-3;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,18406,113714,0,1,1,false
5,4,1,overlays,0,3,lemnatec,sunflower,sunflower0-1;sunflower0-2;sunflower0-9;sunflower0-6;sunflower0-7;sunflower0-8;sunflower0-4;sunflower0-5;sunflower0-3;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,18406,130099,0,1,1,false
5,4,1,overlays,0,4,lemnatec,sunflower,sunflower0-1;sunflower0-2;sunflower0-9;sunflower0-6;sunflower0-7;sunflower0-8;sunflower0-4;sunflower0-5;sunflower0-3;,sunflower0-7;,sunflower0-9;,0.017600000000000005,-1,18406,224450,0,1,1,true
5,4,1,overlays,1,1,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower7-216;,sunflower6-216;,0.008900000000000019,-1,15118,34802,0,1,1,false
5,4,1,overlays,1,2,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower8-144;,sunflower6-216;,0.007800000000000029,-1,15118,44617,0,1,1,false
5,4,1,overlays,1,3,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower4-0;,sunflower6-216;,0.006500000000000006,-1,15118,54426,0,1,1,false
5,4,1,overlays,1,4,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower9-216;,sunflower6-216;,0.009700000000000042,-1,15118,66546,0,1,1,false
5,4,1,overlays,1,5,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower4-144;,sunflower6-216;,0.0030000000000000027,-1,15118,74217,0,1,1,false
5,4,1,overlays,1,6,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower4-216;,sunflower6-216;,0.0021999999999999797,-1,15118,79337,0,1,1,false
5,4,1,overlays,1,7,lemnatec,sunflower,sunflower8-144;sunflower9-216;sunflower7-216;sunflower4-216;sunflower6-216;sunflower7-144;sunflower4-144;sunflower4-0;sunflower9-0;,sunflower6-216;,sunflower6-216;,0,-1,15118,84802,1,0,0,false
5,4,1,overlays,2,1,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower16-144;,sunflower20-144;,0.0023000000000000242,-1,16572,27825,0,1,1,false
5,4,1,overlays,2,2,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-216;,sunflower20-144;,0.018100000000000005,-1,16572,34274,0,1,1,false
5,4,1,overlays,2,3,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-216;,sunflower20-144;,0.018100000000000005,-1,16572,41858,0,1,1,false
5,4,1,overlays,2,4,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-216;,sunflower20-144;,0.018100000000000005,-1,16572,48609,0,1,1,false
5,4,1,overlays,2,5,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower20-0;,sunflower20-144;,0.02040000000000003,-1,16572,52409,0,1,1,false
5,4,1,overlays,2,6,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower16-144;,sunflower20-144;,0.0023000000000000242,-1,16572,60177,0,1,1,false
5,4,1,overlays,2,7,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower19-0;,sunflower20-144;,0.040700000000000014,-1,16572,81417,0,1,1,false
5,4,1,overlays,2,8,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-144;,sunflower20-144;,0.021600000000000008,-1,16572,88282,0,1,1,false
5,4,1,overlays,2,9,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-144;,sunflower20-144;,0.021600000000000008,-1,16572,91098,0,1,1,false
5,4,1,overlays,2,10,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-144;,sunflower20-144;,0.021600000000000008,-1,16572,93855,0,1,1,false
5,4,1,overlays,2,11,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower3-0;,sunflower20-144;,0.02040000000000003,-1,16572,97347,0,1,1,false
5,4,1,overlays,2,12,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower19-216;,sunflower20-144;,0.014900000000000024,-1,16572,100619,0,1,1,false
5,4,1,overlays,2,13,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower19-144;,sunflower20-144;,0.02040000000000003,-1,16572,103940,0,1,1,false
5,4,1,overlays,2,14,lemnatec,sunflower,sunflower20-0;sunflower3-144;sunflower3-216;sunflower3-0;sunflower19-216;sunflower19-144;sunflower20-144;sunflower16-144;sunflower19-0;,sunflower20-144;,sunflower20-144;,0,-1,16572,108138,1,0,0,false
9,2,1,shadowMarkers,0,1,lemnatec,sunflower,sunflower0-6;sunflower0-9;sunflower0-3;sunflower0-2;sunflower0-4;sunflower0-1;sunflower0-7;sunflower0-8;sunflower0-5;,sunflower0-9;,sunflower0-9;,0,-1,5433,78031,1,0,0,false
9,2,1,shadowMarkers,1,1,lemnatec,sunflower,sunflower5-0;sunflower4-216;sunflower4-144;sunflower6-216;sunflower9-216;sunflower9-0;sunflower8-0;sunflower7-144;sunflower7-216;,sunflower6-216;,sunflower6-216;,0,-1,4619,97433,1,0,0,false
9,2,1,shadowMarkers,2,1,lemnatec,sunflower,sunflower16-144;sunflower20-0;sunflower16-0;sunflower19-0;sunflower19-216;sunflower19-144;sunflower3-216;sunflower16-216;sunflower3-0;,sunflower16-144;,sunflower16-216;,0.0009000000000000119,-1,4528,40617,0,1,1,false
9,2,1,shadowMarkers,2,2,lemnatec,sunflower,sunflower16-144;sunflower20-0;sunflower16-0;sunflower19-0;sunflower19-216;sunflower19-144;sunflower3-216;sunflower16-216;sunflower3-0;,sunflower16-216;,sunflower16-216;,0,-1,4528,46423,1,0,0,false
2,1,1,smallMultiples,0,1,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,8129,104505,0,1,1,false
2,1,1,smallMultiples,0,2,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-3;,sunflower0-9;,0.015900000000000025,-1,8129,144569,0,1,1,false
2,1,1,smallMultiples,0,3,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-9;,sunflower0-9;,0,-1,8129,191066,1,0,0,false
2,1,1,smallMultiples,1,1,lemnatec,sunflower,sunflower3-0;sunflower20-0;sunflower3-216;sunflower19-216;sunflower20-216;sunflower19-144;sunflower16-144;sunflower16-0;sunflower3-144;,sunflower19-144;,sunflower20-216;,0.019699999999999995,-1,7515,47796,0,1,1,false
2,1,1,smallMultiples,1,2,lemnatec,sunflower,sunflower3-0;sunflower20-0;sunflower3-216;sunflower19-216;sunflower20-216;sunflower19-144;sunflower16-144;sunflower16-0;sunflower3-144;,sunflower3-216;,sunflower20-216;,0.01739999999999997,-1,7515,67605,0,1,1,false
2,1,1,smallMultiples,1,3,lemnatec,sunflower,sunflower3-0;sunflower20-0;sunflower3-216;sunflower19-216;sunflower20-216;sunflower19-144;sunflower16-144;sunflower16-0;sunflower3-144;,sunflower20-0;,sunflower20-216;,0.019699999999999995,-1,7515,94117,0,1,1,false
2,1,1,smallMultiples,1,4,lemnatec,sunflower,sunflower3-0;sunflower20-0;sunflower3-216;sunflower19-216;sunflower20-216;sunflower19-144;sunflower16-144;sunflower16-0;sunflower3-144;,sunflower20-216;,sunflower20-216;,0,-1,7515,106327,1,0,0,false
2,1,1,smallMultiples,2,1,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower7-144;,sunflower6-216;,0.011199999999999988,-1,7829,52559,0,1,1,false
2,1,1,smallMultiples,2,2,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower6-0;,sunflower6-216;,0.004200000000000037,-1,7829,94864,0,1,1,false
2,1,1,smallMultiples,2,3,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower8-144;,sunflower6-216;,0.007800000000000029,-1,7829,120679,0,1,1,false
2,1,1,smallMultiples,2,4,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower5-216;,sunflower6-216;,0.0126,-1,7829,128510,0,1,1,false
2,1,1,smallMultiples,2,5,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower9-0;,sunflower6-216;,0.012400000000000022,-1,7829,150348,0,1,1,false
2,1,1,smallMultiples,2,6,lemnatec,sunflower,sunflower7-144;sunflower9-0;sunflower4-216;sunflower5-216;sunflower8-144;sunflower6-0;sunflower6-216;sunflower9-216;sunflower4-144;,sunflower4-144;,sunflower6-216;,0.0030000000000000027,-1,7829,185681,0,1,1,true
5,4,1,shadowMarkers,0,1,lemnatec,sunflower,sunflower0-6;sunflower0-9;sunflower0-3;sunflower0-2;sunflower0-4;sunflower0-1;sunflower0-7;sunflower0-8;sunflower0-5;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,18984,19129,0,1,1,false
5,4,1,shadowMarkers,0,2,lemnatec,sunflower,sunflower0-6;sunflower0-9;sunflower0-3;sunflower0-2;sunflower0-4;sunflower0-1;sunflower0-7;sunflower0-8;sunflower0-5;,sunflower0-9;,sunflower0-9;,0,-1,18984,50239,1,0,0,false
5,4,1,shadowMarkers,1,1,lemnatec,sunflower,sunflower7-144;sunflower5-0;sunflower8-144;sunflower6-216;sunflower6-0;sunflower9-216;sunflower4-216;sunflower4-144;sunflower5-216;,sunflower6-216;,sunflower6-216;,0,-1,18071,27153,1,0,0,false
5,4,1,shadowMarkers,2,1,lemnatec,sunflower,sunflower3-144;sunflower16-0;sunflower3-216;sunflower19-144;sunflower3-0;sunflower16-216;sunflower19-216;sunflower20-216;sunflower19-0;,sunflower16-216;,sunflower20-216;,0.0006999999999999784,-1,18750,27283,0,1,1,false
5,4,1,shadowMarkers,2,2,lemnatec,sunflower,sunflower3-144;sunflower16-0;sunflower3-216;sunflower19-144;sunflower3-0;sunflower16-216;sunflower19-216;sunflower20-216;sunflower19-0;,sunflower20-216;,sunflower20-216;,0,-1,18750,47557,1,0,0,false
7,6,1,shadowMarkers,0,1,lemnatec,sunflower,sunflower0-6;sunflower0-9;sunflower0-3;sunflower0-2;sunflower0-4;sunflower0-1;sunflower0-7;sunflower0-8;sunflower0-5;,sunflower0-1;,sunflower0-9;,0.0041999999999999815,-1,7150,264570,0,1,1,true
7,6,1,shadowMarkers,1,1,lemnatec,sunflower,sunflower8-144;sunflower4-0;sunflower9-144;sunflower8-0;sunflower6-216;sunflower4-216;sunflower6-0;sunflower4-144;sunflower7-216;,sunflower6-216;,sunflower6-216;,0,-1,7707,111413,1,0,0,false
7,6,1,shadowMarkers,2,1,lemnatec,sunflower,sunflower19-216;sunflower19-0;sunflower3-144;sunflower20-0;sunflower3-0;sunflower3-216;sunflower20-144;sunflower19-144;sunflower16-144;,sunflower16-144;,sunflower20-144;,0.0023000000000000242,-1,7578,92116,0,1,1,false
7,6,1,shadowMarkers,2,2,lemnatec,sunflower,sunflower19-216;sunflower19-0;sunflower3-144;sunflower20-0;sunflower3-0;sunflower3-216;sunflower20-144;sunflower19-144;sunflower16-144;,sunflower16-144;,sunflower20-144;,0.0023000000000000242,-1,7578,115748,0,1,1,false
7,6,1,shadowMarkers,2,3,lemnatec,sunflower,sunflower19-216;sunflower19-0;sunflower3-144;sunflower20-0;sunflower3-0;sunflower3-216;sunflower20-144;sunflower19-144;sunflower16-144;,sunflower16-144;,sunflower20-144;,0.0023000000000000242,-1,7578,189010,0,1,1,true
9,2,1,overlays,0,1,lemnatec,sunflower,sunflower0-1;sunflower0-2;sunflower0-9;sunflower0-6;sunflower0-7;sunflower0-8;sunflower0-4;sunflower0-5;sunflower0-3;,sunflower0-9;,sunflower0-9;,0,-1,6280,29199,1,0,0,false
9,2,1,overlays,1,1,lemnatec,sunflower,sunflower19-0;sunflower19-144;sunflower16-0;sunflower3-0;sunflower19-216;sunflower20-144;sunflower16-216;sunflower3-144;sunflower20-0;,sunflower19-216;,sunflower20-144;,0.014900000000000024,-1,6450,33410,0,1,1,false
9,2,1,overlays,1,2,lemnatec,sunflower,sunflower19-0;sunflower19-144;sunflower16-0;sunflower3-0;sunflower19-216;sunflower20-144;sunflower16-216;sunflower3-144;sunflower20-0;,sunflower20-144;,sunflower20-144;,0,-1,6450,41570,1,0,0,false
9,2,1,overlays,2,1,lemnatec,sunflower,sunflower4-0;sunflower9-0;sunflower9-216;sunflower5-216;sunflower4-216;sunflower7-216;sunflower4-144;sunflower8-0;sunflower6-216;,sunflower6-216;,sunflower6-216;,0,-1,5349,56864,1,0,0,false
5,4,1,smallMultiples,0,1,lemnatec,sunflower,sunflower0-2;sunflower0-3;sunflower0-1;sunflower0-8;sunflower0-5;sunflower0-7;sunflower0-6;sunflower0-4;sunflower0-9;,sunflower0-9;,sunflower0-9;,0,-1,19765,12803,1,0,0,false
5,4,1,smallMultiples,1,1,lemnatec,sunflower,sunflower19-216;sunflower16-216;sunflower16-0;sunflower19-0;sunflower3-144;sunflower20-216;sunflower19-144;sunflower3-0;sunflower20-0;,sunflower20-216;,sunflower20-216;,0,-1,21013,14360,1,0,0,false
5,4,1,smallMultiples,2,1,lemnatec,sunflower,sunflower9-0;sunflower6-0;sunflower4-0;sunflower4-144;sunflower8-0;sunflower4-216;sunflower7-216;sunflower5-0;sunflower6-216;,sunflower6-0;,sunflower6-216;,0.004200000000000037,-1,19877,24266,0,1,1,false
5,4,1,smallMultiples,2,2,lemnatec,sunflower,sunflower9-0;sunflower6-0;sunflower4-0;sunflower4-144;sunflower8-0;sunflower4-216;sunflower7-216;sunflower5-0;sunflower6-216;,sunflower7-216;,sunflower6-216;,0.008900000000000019,-1,19877,29252,0,1,1,false
