pID,condition,task,interaction,trial,attempt,dataset,category,videos,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
9,1,4,smallMultiples,2,6,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,29991,0,1,1,FALSE
9,1,4,smallMultiples,2,7,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,33735,0,1,1,FALSE
9,1,4,smallMultiples,2,8,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,37727,0,1,1,FALSE
9,1,4,smallMultiples,2,9,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,40927,0,1,1,FALSE
9,1,4,smallMultiples,2,10,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,44199,0,1,1,FALSE
9,1,4,smallMultiples,2,11,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,47039,0,1,1,FALSE
9,1,4,smallMultiples,2,12,scatterplots,scatterplots,scatterplot-6;scatterplot-85;scatterplot-10;scatterplot-94;scatterplot-68;scatterplot-21;scatterplot-16;scatterplot-92;scatterplot-90;,844,49911,1,0,0,FALSE
3,1,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1513,31690,0,1,1,FALSE
3,1,4,smallMultiples,0,2,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1513,38068,0,1,1,FALSE
3,1,4,smallMultiples,0,3,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1513,54732,1,0,0,FALSE
3,1,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;,1788,11028,0,1,1,FALSE
3,1,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;,1788,32650,1,0,0,FALSE
3,1,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,11846,0,1,1,FALSE
3,1,4,smallMultiples,2,2,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,14290,0,1,1,FALSE
3,1,4,smallMultiples,2,3,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,25807,0,1,1,FALSE
3,1,4,smallMultiples,2,4,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,31708,0,1,1,FALSE
3,1,4,smallMultiples,2,5,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,34943,0,1,1,FALSE
3,1,4,smallMultiples,2,6,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,54157,0,1,1,FALSE
3,1,4,smallMultiples,2,7,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,77265,0,1,1,FALSE
3,1,4,smallMultiples,2,8,scatterplots,scatterplots,scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;,1923,106563,1,0,0,FALSE
9,1,4,overlays,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1046,37805,1,0,0,FALSE
9,1,4,overlays,1,1,scatterplots,scatterplots,scatterplot-89;scatterplot-78;scatterplot-1;scatterplot-76;scatterplot-65;scatterplot-6;scatterplot-26;scatterplot-64;scatterplot-24;,978,23638,1,0,0,FALSE
9,1,4,overlays,2,1,scatterplots,scatterplots,scatterplot-35;scatterplot-6;scatterplot-33;scatterplot-44;scatterplot-83;scatterplot-65;scatterplot-68;scatterplot-84;scatterplot-47;,998,19582,1,0,0,FALSE
6,4,4,overlays,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1747,86090,0,1,1,FALSE
6,4,4,overlays,0,2,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1747,120051,1,0,0,FALSE
6,4,4,overlays,1,1,scatterplots,scatterplots,scatterplot-19;scatterplot-87;scatterplot-92;scatterplot-10;scatterplot-43;scatterplot-61;scatterplot-75;scatterplot-72;scatterplot-78;,2028,48526,1,0,0,FALSE
6,4,4,overlays,2,1,scatterplots,scatterplots,scatterplot-40;scatterplot-82;scatterplot-10;scatterplot-6;scatterplot-64;scatterplot-39;scatterplot-46;scatterplot-75;scatterplot-85;,2200,39821,1,0,0,FALSE
9,1,4,shadowMarkers,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;,1037,16126,1,0,0,FALSE
9,1,4,shadowMarkers,1,1,scatterplots,scatterplots,scatterplot-89;scatterplot-47;scatterplot-41;scatterplot-21;scatterplot-95;scatterplot-51;scatterplot-38;scatterplot-40;scatterplot-33;,1045,9351,1,0,0,FALSE
9,1,4,shadowMarkers,2,1,scatterplots,scatterplots,scatterplot-95;scatterplot-21;scatterplot-68;scatterplot-4;scatterplot-47;scatterplot-64;scatterplot-77;scatterplot-69;scatterplot-84;,1097,9422,1,0,0,FALSE
10,2,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,4566,33867,1,0,0,FALSE
10,2,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,32258,0,1,1,FALSE
10,2,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,60741,0,1,1,FALSE
10,2,4,smallMultiples,1,3,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,76380,0,1,1,FALSE
10,2,4,smallMultiples,1,4,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,97166,0,1,1,FALSE
10,2,4,smallMultiples,1,5,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,99926,0,1,1,FALSE
10,2,4,smallMultiples,1,6,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,107325,0,1,1,FALSE
10,2,4,smallMultiples,1,7,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,111296,0,1,1,FALSE
10,2,4,smallMultiples,1,8,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,116101,0,1,1,FALSE
10,2,4,smallMultiples,1,9,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,118679,0,1,1,FALSE
10,2,4,smallMultiples,1,10,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,123571,0,1,1,FALSE
10,2,4,smallMultiples,1,11,scatterplots,scatterplots,scatterplot-72;scatterplot-94;scatterplot-35;scatterplot-65;scatterplot-99;scatterplot-29;scatterplot-48;scatterplot-23;scatterplot-69;,5527,126638,1,0,0,FALSE
10,2,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-58;scatterplot-57;scatterplot-94;scatterplot-79;scatterplot-40;scatterplot-21;scatterplot-53;scatterplot-75;scatterplot-30;,5020,27145,1,0,0,FALSE
5,3,4,overlays,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2915,119333,1,0,0,FALSE
5,3,4,overlays,1,1,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,66341,0,1,1,FALSE
5,3,4,overlays,1,2,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,76127,0,1,1,FALSE
5,3,4,overlays,1,3,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,83287,0,1,1,FALSE
5,3,4,overlays,1,4,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,91793,0,1,1,FALSE
5,3,4,overlays,1,5,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,110095,0,1,1,FALSE
5,3,4,overlays,1,6,scatterplots,scatterplots,scatterplot-68;scatterplot-10;scatterplot-32;scatterplot-21;scatterplot-16;scatterplot-90;scatterplot-64;scatterplot-25;scatterplot-54;,2558,115601,1,0,0,FALSE
5,3,4,overlays,2,1,scatterplots,scatterplots,scatterplot-26;scatterplot-77;scatterplot-25;scatterplot-6;scatterplot-87;scatterplot-17;scatterplot-43;scatterplot-78;scatterplot-83;,3069,46189,0,1,1,FALSE
5,3,4,overlays,2,2,scatterplots,scatterplots,scatterplot-26;scatterplot-77;scatterplot-25;scatterplot-6;scatterplot-87;scatterplot-17;scatterplot-43;scatterplot-78;scatterplot-83;,3069,50369,0,1,1,FALSE
5,3,4,overlays,2,3,scatterplots,scatterplots,scatterplot-26;scatterplot-77;scatterplot-25;scatterplot-6;scatterplot-87;scatterplot-17;scatterplot-43;scatterplot-78;scatterplot-83;,3069,63043,1,0,0,FALSE
3,1,4,overlays,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2077,22418,0,1,1,FALSE
3,1,4,overlays,0,2,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2077,38199,1,0,0,FALSE
3,1,4,overlays,1,1,scatterplots,scatterplots,scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;,1653,30375,0,1,1,FALSE
3,1,4,overlays,1,2,scatterplots,scatterplots,scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;,1653,61987,1,0,0,FALSE
3,1,4,overlays,2,1,scatterplots,scatterplots,scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;,1878,18662,0,1,1,FALSE
3,1,4,overlays,2,2,scatterplots,scatterplots,scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;,1878,42253,1,0,0,FALSE
6,4,4,shadowMarkers,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;,2292,81700,1,0,0,FALSE
6,4,4,shadowMarkers,1,1,scatterplots,scatterplots,scatterplot-39;scatterplot-1;scatterplot-65;scatterplot-73;scatterplot-23;scatterplot-90;scatterplot-95;scatterplot-27;scatterplot-25;,2145,24048,0,1,1,FALSE
6,4,4,shadowMarkers,1,2,scatterplots,scatterplots,scatterplot-39;scatterplot-1;scatterplot-65;scatterplot-73;scatterplot-23;scatterplot-90;scatterplot-95;scatterplot-27;scatterplot-25;,2145,33476,1,0,0,FALSE
6,4,4,shadowMarkers,2,1,scatterplots,scatterplots,scatterplot-48;scatterplot-85;scatterplot-79;scatterplot-90;scatterplot-39;scatterplot-58;scatterplot-64;scatterplot-11;scatterplot-68;,2329,20837,1,0,0,FALSE
3,1,4,shadowMarkers,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;,2010,12798,1,0,0,FALSE
3,1,4,shadowMarkers,1,1,scatterplots,scatterplots,scatterplot-12;scatterplot-87;scatterplot-83;scatterplot-4;scatterplot-56;scatterplot-37;scatterplot-6;scatterplot-68;scatterplot-24;,2204,9208,1,0,0,FALSE
3,1,4,shadowMarkers,2,1,scatterplots,scatterplots,scatterplot-64;scatterplot-82;scatterplot-65;scatterplot-81;scatterplot-28;scatterplot-19;scatterplot-20;scatterplot-1;scatterplot-76;,1961,9385,1,0,0,FALSE
5,3,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,4105,23531,1,0,0,FALSE
5,3,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-87;scatterplot-29;scatterplot-79;scatterplot-59;scatterplot-58;scatterplot-6;scatterplot-89;scatterplot-75;scatterplot-20;,3393,18643,0,1,1,FALSE
5,3,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-87;scatterplot-29;scatterplot-79;scatterplot-59;scatterplot-58;scatterplot-6;scatterplot-89;scatterplot-75;scatterplot-20;,3393,31523,0,1,1,FALSE
5,3,4,smallMultiples,1,3,scatterplots,scatterplots,scatterplot-87;scatterplot-29;scatterplot-79;scatterplot-59;scatterplot-58;scatterplot-6;scatterplot-89;scatterplot-75;scatterplot-20;,3393,35351,1,0,0,FALSE
5,3,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-58;scatterplot-1;scatterplot-29;scatterplot-61;scatterplot-10;scatterplot-44;scatterplot-33;scatterplot-11;scatterplot-68;,3459,9027,0,1,1,FALSE
5,3,4,smallMultiples,2,2,scatterplots,scatterplots,scatterplot-58;scatterplot-1;scatterplot-29;scatterplot-61;scatterplot-10;scatterplot-44;scatterplot-33;scatterplot-11;scatterplot-68;,3459,14339,0,1,1,FALSE
5,3,4,smallMultiples,2,3,scatterplots,scatterplots,scatterplot-58;scatterplot-1;scatterplot-29;scatterplot-61;scatterplot-10;scatterplot-44;scatterplot-33;scatterplot-11;scatterplot-68;,3459,22813,0,1,1,FALSE
5,3,4,smallMultiples,2,4,scatterplots,scatterplots,scatterplot-58;scatterplot-1;scatterplot-29;scatterplot-61;scatterplot-10;scatterplot-44;scatterplot-33;scatterplot-11;scatterplot-68;,3459,27635,0,1,1,FALSE
5,3,4,smallMultiples,2,5,scatterplots,scatterplots,scatterplot-58;scatterplot-1;scatterplot-29;scatterplot-61;scatterplot-10;scatterplot-44;scatterplot-33;scatterplot-11;scatterplot-68;,3459,32253,1,0,0,FALSE
18,3,4,overlays,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1643,103773,0,1,1,FALSE
18,3,4,overlays,0,2,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,1643,106829,1,0,0,FALSE
18,3,4,overlays,1,1,scatterplots,scatterplots,scatterplot-44;scatterplot-20;scatterplot-30;scatterplot-82;scatterplot-3;scatterplot-36;scatterplot-21;scatterplot-54;scatterplot-83;,1823,44124,1,0,0,FALSE
18,3,4,overlays,2,1,scatterplots,scatterplots,scatterplot-22;scatterplot-54;scatterplot-28;scatterplot-72;scatterplot-47;scatterplot-57;scatterplot-16;scatterplot-81;scatterplot-27;,1848,38150,0,1,1,FALSE
18,3,4,overlays,2,2,scatterplots,scatterplots,scatterplot-22;scatterplot-54;scatterplot-28;scatterplot-72;scatterplot-47;scatterplot-57;scatterplot-16;scatterplot-81;scatterplot-27;,1848,58721,1,0,0,FALSE
16,1,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2229,61467,1,0,0,FALSE
16,1,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;,2679,52298,0,1,1,FALSE
16,1,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;,2679,62945,0,1,1,FALSE
16,1,4,smallMultiples,1,3,scatterplots,scatterplots,scatterplot-79;scatterplot-77;scatterplot-27;scatterplot-47;scatterplot-98;scatterplot-39;scatterplot-4;scatterplot-57;scatterplot-33;,2679,70445,1,0,0,FALSE
16,1,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-1;scatterplot-32;scatterplot-35;scatterplot-72;scatterplot-78;scatterplot-10;scatterplot-18;scatterplot-30;scatterplot-40;,2840,21426,0,1,1,FALSE
16,1,4,smallMultiples,2,2,scatterplots,scatterplots,scatterplot-1;scatterplot-32;scatterplot-35;scatterplot-72;scatterplot-78;scatterplot-10;scatterplot-18;scatterplot-30;scatterplot-40;,2840,35410,1,0,0,FALSE
10,2,4,shadowMarkers,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;,4330,79114,1,0,0,FALSE
10,2,4,shadowMarkers,1,1,scatterplots,scatterplots,scatterplot-24;scatterplot-78;scatterplot-79;scatterplot-66;scatterplot-56;scatterplot-69;scatterplot-64;scatterplot-41;scatterplot-30;,5734,26848,1,0,0,FALSE
10,2,4,shadowMarkers,2,1,scatterplots,scatterplots,scatterplot-28;scatterplot-44;scatterplot-82;scatterplot-95;scatterplot-72;scatterplot-87;scatterplot-48;scatterplot-63;scatterplot-58;,5015,29050,1,0,0,FALSE
6,4,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2372,48475,0,1,1,FALSE
6,4,4,smallMultiples,0,2,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2372,63830,0,1,1,FALSE
6,4,4,smallMultiples,0,3,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2372,79612,0,1,1,FALSE
6,4,4,smallMultiples,0,4,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2372,89893,1,0,0,FALSE
6,4,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-61;scatterplot-42;scatterplot-64;scatterplot-26;scatterplot-17;scatterplot-3;scatterplot-92;scatterplot-68;scatterplot-40;,2381,18820,1,0,0,FALSE
6,4,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-22;scatterplot-79;scatterplot-29;scatterplot-81;scatterplot-69;scatterplot-95;scatterplot-41;scatterplot-78;scatterplot-66;,2336,23195,1,0,0,FALSE
15,2,4,smallMultiples,0,1,scatterplots,scatterplots,scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;,2839,21298,1,0,0,FALSE
15,2,4,smallMultiples,1,1,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,30804,0,1,1,FALSE
15,2,4,smallMultiples,1,2,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,41049,0,1,1,FALSE
15,2,4,smallMultiples,1,3,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,47717,0,1,1,FALSE
15,2,4,smallMultiples,1,4,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,93643,0,1,1,FALSE
15,2,4,smallMultiples,1,5,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,113863,0,1,1,FALSE
15,2,4,smallMultiples,1,6,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,126982,0,1,1,FALSE
15,2,4,smallMultiples,1,7,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,131856,0,1,1,FALSE
15,2,4,smallMultiples,1,8,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,138268,0,1,1,FALSE
15,2,4,smallMultiples,1,9,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,148180,0,1,1,FALSE
15,2,4,smallMultiples,1,10,scatterplots,scatterplots,scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;,3196,153668,1,0,0,FALSE
15,2,4,smallMultiples,2,1,scatterplots,scatterplots,scatterplot-39;scatterplot-75;scatterplot-32;scatterplot-38;scatterplot-47;scatterplot-30;scatterplot-53;scatterplot-1;scatterplot-95;,3816,33265,0,1,1,FALSE
